app,mutator,file,line,col,stage2,build_ok,baseline_median_s,baseline_iqr_s,baseline_n,mutant_median_s,mutant_iqr_s,mutant_n,early_stop,any_timeout,delta_s,delta_pct,threshold_s,o3_verdict,baseline_maxrss_kb,mutant_maxrss_kb,rss_delta_pct,baseline_stmt_lines,mutant_stmt_lines,stmt_lines_differ,baseline_vecinsn,mutant_vecinsn,vecinsn_differ,baseline_text_bytes,mutant_text_bytes,text_bytes_delta_pct,note,_src
depthwise_separable_conv,Halide_vectorize_to_unroll,depthwise_separable_conv_generator.cpp,266,18,OK,1,0.60131,0.20037,21,0.45111,0.17517,9,0,0,-0.15020,-24.98,0.60110,SURVIVED_O3,19828,20048,1.11,672,1389,1,6054,4314,1,131032,138808,5.93,,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_unroll,depthwise_separable_conv_generator.cpp,275,18,OK,1,0.60131,0.20037,21,0.40108,0.00012,9,0,0,-0.20023,-33.30,0.60110,SURVIVED_O3,19828,20048,1.11,672,756,1,6054,6178,1,131032,130712,-0.24,,results-A3.csv
iir_blur,Halide_vectorize_to_parallel,iir_blur_generator.cpp,45,18,OK,1,6.81235,0.07591,21,52.80879,2.40577,4,1,0,45.99644,675.19,0.22774,KILLED_O3,187696,254754.0,35.73,274,302,1,3494,3438,1,227455,227807,0.15,;early_stop,results-A3.csv
iir_blur,Halide_vectorize_to_unroll,iir_blur_generator.cpp,45,18,OK,1,6.81235,0.07591,21,6.71318,0.02553,9,0,0,-0.09918,-1.46,0.22774,SURVIVED_O3,187696,187700,0.00,274,288,1,3494,3482,1,227455,227551,0.04,,results-A3.csv
iir_blur,Halide_vectorize_to_unroll,iir_blur_generator.cpp,56,18,OK,1,6.81235,0.07591,21,7.11360,0.02535,9,0,0,0.30125,4.42,0.22774,KILLED_O3,187696,187676,-0.01,274,336,1,3494,3494,0,227455,227455,0.00,,results-A3.csv
iir_blur,Halide_vectorize_to_unroll,iir_blur_generator.cpp,59,18,OK,1,6.81235,0.07591,21,7.11376,0.09934,9,0,0,0.30141,4.42,0.22774,KILLED_O3,187696,187700,0.00,274,336,1,3494,3494,0,227455,227455,0.00,,results-A3.csv
bilateral_grid,Halide_unroll_to_parallel,bilateral_grid_generator.cpp,147,18,OK,1,2.15423,0.02527,21,17.23384,0.00000,4,1,1,15.07961,700.00,0.07580,KILLED_O3,44868,0.0,-100.00,515,508,1,7026,6842,1,248969,247593,-0.55,timeout-capped;early_stop,results-B3.csv
bilateral_grid,Halide_unroll_to_vectorize,bilateral_grid_generator.cpp,132,18,OK,1,2.15423,0.02527,21,3.20658,1.67778,4,1,0,1.05235,48.85,0.07580,KILLED_O3,44868,45398.0,1.18,515,515,0,7026,8126,1,248969,252585,1.45,;early_stop,results-B3.csv
bilateral_grid,Halide_unroll_to_vectorize,bilateral_grid_generator.cpp,136,18,OK,1,2.15423,0.02527,21,2.25490,0.02569,9,0,0,0.10067,4.67,0.07580,KILLED_O3,44868,44880,0.03,515,507,1,7026,7158,1,248969,249385,0.17,,results-B3.csv
bilateral_grid,Halide_unroll_to_vectorize,bilateral_grid_generator.cpp,141,18,OK,1,2.15423,0.02527,21,2.20590,0.04985,9,0,0,0.05167,2.40,0.07580,SURVIVED_O3,44868,45044,0.39,515,528,1,7026,8532,1,248969,254025,2.03,,results-B3.csv
bilateral_grid,Halide_unroll_to_vectorize,bilateral_grid_generator.cpp,147,18,OK,1,2.15423,0.02527,21,2.20457,0.00057,9,0,0,0.05034,2.34,0.07580,SURVIVED_O3,44868,44884,0.04,515,529,1,7026,7720,1,248969,253321,1.75,,results-B3.csv
bilateral_grid,Halide_vectorize_to_parallel,bilateral_grid_generator.cpp,131,18,OK,1,2.15423,0.02527,21,3.18166,0.20099,4,1,0,1.02743,47.69,0.07580,KILLED_O3,44868,45954.0,2.42,515,561,1,7026,7026,0,248969,249481,0.21,;early_stop,results-B3.csv
bilateral_grid,Halide_vectorize_to_parallel,bilateral_grid_generator.cpp,140,18,OK,1,2.15423,0.02527,21,9.69190,0.57590,4,1,0,7.53767,349.90,0.07580,KILLED_O3,44868,45310.0,0.99,515,534,1,7026,6990,1,248969,248809,-0.06,;early_stop,results-B3.csv
bilateral_grid,Halide_vectorize_to_parallel,bilateral_grid_generator.cpp,146,18,OK,1,2.15423,0.02527,21,15.67858,3.31335,4,1,1,13.52435,627.80,0.07580,KILLED_O3,44868,23034.0,-48.66,515,516,1,7026,6844,1,248969,247561,-0.57,timeout-capped;early_stop,results-B3.csv
bilateral_grid,Halide_vectorize_to_unroll,bilateral_grid_generator.cpp,131,18,OK,1,2.15423,0.02527,21,2.15410,0.00043,9,0,0,-0.00013,-0.01,0.07580,SURVIVED_O3,44868,44960,0.21,515,641,1,7026,7586,1,248969,254729,2.31,,results-B3.csv
bilateral_grid,Halide_vectorize_to_unroll,bilateral_grid_generator.cpp,146,18,OK,1,2.15423,0.02527,21,2.20372,0.02539,9,0,0,0.04949,2.30,0.07580,SURVIVED_O3,44868,44840,-0.06,515,580,1,7026,7502,1,248969,251977,1.21,,results-B3.csv
bilateral_grid,Halide_vectorize_to_unroll,bilateral_grid_generator.cpp,150,18,OK,1,2.15423,0.02527,21,2.10426,0.00085,9,0,0,-0.04997,-2.32,0.07580,SURVIVED_O3,44868,44676,-0.43,515,704,1,7026,6092,1,248969,254057,2.04,,results-B3.csv
harris,Halide_store_at_to_compute_at,harris_generator.cpp,114,22,OK,1,0.75152,0.20031,21,0.95206,0.12526,9,0,0,0.20054,26.68,0.60092,SURVIVED_O3,81204,81284,0.10,244,222,1,4067,4091,1,283323,283579,0.09,,results-B3.csv
harris,Halide_vectorize_to_parallel,harris_generator.cpp,113,22,OK,1,0.75152,0.20031,21,1.60301,0.22546,9,0,0,0.85149,113.30,0.60092,KILLED_O3,81204,85296,5.04,244,232,1,4067,3857,1,283323,282587,-0.26,,results-B3.csv
harris,Halide_vectorize_to_parallel,harris_generator.cpp,116,22,OK,1,0.75152,0.20031,21,1.35275,0.04994,9,0,0,0.60123,80.00,0.60092,KILLED_O3,81204,86320,6.30,244,256,1,4067,4065,1,283323,283099,-0.08,,results-B3.csv
harris,Halide_vectorize_to_unroll,harris_generator.cpp,116,22,OK,1,0.75152,0.20031,21,0.90230,0.00059,9,0,0,0.15078,20.06,0.60092,SURVIVED_O3,81204,82224,1.26,244,258,1,4067,4067,0,283323,283323,0.00,,results-B3.csv
harris,Halide_vectorize_to_unroll,harris_generator.cpp,119,22,OK,1,0.75152,0.20031,21,0.75190,0.20018,9,0,0,0.00038,0.05,0.60092,SURVIVED_O3,81204,81380,0.22,244,279,1,4067,4179,1,283323,283579,0.09,,results-B3.csv
harris,Halide_vectorize_to_unroll,harris_generator.cpp,122,22,OK,1,0.75152,0.20031,21,0.75228,0.17539,9,0,0,0.00076,0.10,0.60092,SURVIVED_O3,81204,82224,1.26,244,286,1,4067,4161,1,283323,283579,0.09,,results-B3.csv
nl_means,Halide_unroll_to_parallel,nl_means_generator.cpp,150,18,OK,1,3.00674,0.05213,21,24.05393,0.00000,4,1,1,21.04719,700.00,0.15638,KILLED_O3,113968,0.0,-100.00,1028,1042,1,6394,6246,1,265233,269297,1.53,timeout-capped;early_stop,results-C3.csv
nl_means,Halide_unroll_to_vectorize,nl_means_generator.cpp,146,18,OK,1,3.00674,0.05213,21,3.00596,0.02552,9,0,0,-0.00078,-0.03,0.15638,SURVIVED_O3,113968,113964,-0.00,1028,1016,1,6394,6172,1,265233,263985,-0.47,,results-C3.csv
